Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adresse du laboratoire;Contact pour candidature;adresse mail;Téléphone;Site internet;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;DeuxMillevingtDeux Nb D apprentis;DeuxMillevingtDeux  Nb D initiaux;DeuxMillevingtEtUn Nb D apprentis;DeuxMillevingtEtUn  Nb D initiaux;DeuxMillevingt Nb D apprentis;DeuxMillevingt  Nb D initiaux;DeuxMilleDixNeuf  Nb D apprentis;DeuxMilleDixNeuf  Nb D initiaux;DeuxMilleDixHuit  Nb D apprentis;DeuxMilleDixHuit  Nb D initiaux;DeuxMilleDixSept  Nb D apprentis;DeuxMilleDixSept  Nb D initiaux;DeuxMilleSeize  Nb D apprentis;DeuxMilleSeize  Nb D initiaux;DeuxMilleQuinze  Nb D apprentis;DeuxMilleQuinze  Nb D initiaux;DeuxMilleQuatorze  Nb D apprentis;DeuxMilleQuatorze  Nb D intiaux;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Polyvalent;privé;Cerballiance, Laboratoire de Lameilhé;"                ; 2015_i=1  ";7 rue Pierre Raynaud 81 100 CASTRES ;05 63 72 24 14;;Mme Poirier;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;7 rue Pierre Raynaud 81 100 CASTRES ;Mme Poirier;labolameilhe.occitanie@cerballiance.fr;05 63 72 24 14;https://laboratoires.cerballiance.fr/occitanie/castres/7-rue-pierre-raynaud;43.59304108771934, 2.255073884680851;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;1;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;BIOFUSION (Gpe Inovie);"        ; 2019_i=1          ";Site du Pont de Chaume, 43 rue des Arts 82 006 MONTAUBAN;05 63 22 29 99;;M. Delteil;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;Site du Pont de Chaume, 43 rue des Arts 82 006 MONTAUBAN;M. Delteil;laboratoire.pontdechaume@biofusion.fr;05 63 22 29 99;https://biofusion.fr/;44.01561963048114, 1.3549137633965591;;;;;;;;;;;;;0;;0;;0;;1;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;BIOLAB AVENIR (associé à la clinique Pasteur);"    ; 2021_i=1              ";45 avenue de Lombez Poste 23, 31 076 TOULOUSE;05 62 21 16 00;;M. Mazaleyrat;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;45 avenue de Lombez Poste 23, 31 076 TOULOUSE;M. Mazaleyrat;labosecretariat@clinique-pasteur.com;05 62 21 16 00;https://biolab.clinique-pasteur.com/;43.596869063691805, 1.4180832308512896;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Alliance ANABIO;"    ; 2021_i=1              ";8 avenue Mozart, 35 830 BETTON;02 99 55 02 22;;Mme Noysette;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;8 avenue Mozart, 35 830 BETTON;Mme Noysette;betton@allianceanabio.fr;02 99 55 02 22;https://www.allianceanabio.fr/;48.181834435583305, -1.6383608998503534;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Laboratoire Candia-Madonuccia;"    ; 2021_i=1              ";Avenue Noël Franchini, 20 090 AJACCIO;04 95 23 73 88;;?;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;Avenue Noël Franchini, 20 090 AJACCIO;?;;04 95 23 73 88;https://laboccf.fr/;41.94156924609522, 8.755756813475168;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent;privé;Laboratoire Canarelli Colonna Fernandez;"    ; 2021_i=1              ";65 Cours Napoléon, 20 000 AJACCIO;07 88 15 16 18;;M. Véron;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;65 Cours Napoléon, 20 000 AJACCIO;M. Véron;;07 88 15 16 18;https://laboccf.fr/;41.92769905838867, 8.739061137743995;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;Public;CHU Bdx Site Haut Lévêque : urgences, anapath, hématologie spécialisée, hormonologie, marqueurs tumoraux, CRB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Av. du Haut Lévêque, 33600 Pessac;SIBERS Christine (cellule des stage);cellule-stages.paramed@chu-bordeaux.fr;05 57 82 07 21;https://www.chu-bordeaux.fr/Les-p%C3%B4les/P%C3%B4le-biologie-et-pathologie/;44.78656815709256, -0.6606872927944651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;CHU Bdx Site Pellegrin : microbio, biochimie, hématologie, sérologie, biologie moléculaire, cytogénétique, anapath, pharmaco-toxicologie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Place Amélie Raba Léon, 33076 Bordeaux;SIBERS Christine (cellule des stage);cellule-stages.paramed@chu-bordeaux.fr;05 57 82 07 21;https://www.chu-bordeaux.fr/Les-p%C3%B4les/P%C3%B4le-biologie-et-pathologie/;44.82799252330388, -0.6052729524098317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'Hôpital Robert Picqué;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;351 Rte de Toulouse, 33140 Villenave-d'Ornon;M. Patti;jean-paul.patti@intradef.gouv.fr;05 56 84 70 12;https://www.defense.gouv.fr/sante/sante-publique/hopitaux-militaires/robert-picque-bordeaux-33/hia-robert-picque-covid-19-informations-importantes;44.79935328468634, -0.5712406932441121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;Public;Laboratoire de biochimie/hématologie de l'Hôpital de Libourne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112 Rue de la Marne, 33500 Libourne;Mme Chaine;Beatrice.Chaine@ch-libourne.fr;05 57 55 34 34;http://www.ch-libourne.fr/;44.91886054138234, -0.22787468537477998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microbio;Public;Laboratoire de microbiologie de l'Hôpital de Libourne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112 Rue de la Marne, 33500 Libourne;Mme Chaine;Beatrice.Chaine@ch-libourne.fr;05 57 55 34 34;http://www.ch-libourne.fr/;44.91886054138234, -0.22787468537477998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anapath;Public;Laboratoire d'anatomocytopathologie de l'Hôpital de Libourne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112 Rue de la Marne, 33500 Libourne;Mme Chaine;Beatrice.Chaine@ch-libourne.fr;05 57 55 34 34;http://www.ch-libourne.fr/;44.91886054138234, -0.22787468537477998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent sans microbio;Public;Laboratoire de biologie médicale de l'Institut Bergonié;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;229 Cr de l'Argonne, 33000 Bordeaux;Mme Peutat;k.peutat@bordeaux.unicancer.fr;05 56 33 33 36;https://www.bergonie.fr/;44.824088043959556, -0.5793984152869593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital de Langon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue Paul Langevin, 33210 Langon;Mme Desbordes;catherine.desbordes@ch-sudgironde.fr;05 56 76 57 52;https://www.ch-sudgironde.fr/;44.545117693545656, -0.24329415762200646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital d'Arcachon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Av. Jean Hameau, 33260 La Teste-de-Buch;Mme Goursolle;secretariat.ds@ch-arcachon.fr;05 57 52 90 00;https://www.ch-arcachon.fr;44.61464876229469, -1.111062845981759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital de Périgueux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80 Av. Georges Pompidou, 24000 Périgueux;Mme Tabouret;valerie.tabouret@ch-perigueux.fr;05 53 45 26 10 ;http://www.ch-perigueux.fr;45.192817796482885, 0.7301220423951568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital de Dax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bd Yves du Manoir, 40100 Dax;Mme Da Silva;DASILVAV@ch-dax.fr;05 58 90 55 80;https://www.ch-dax.fr/;43.71190472535916, -1.0398391306607122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital de Marmande;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76 Rue du Dr Courret, 47200 Marmande;Mme Damestoy;viviane.damestoy@chicmt.fr;05 53 20 30 40;https://www.chicmt.fr/;44.502636471223624, 0.16549007414527997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital d'Angoulème;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rond point de Girac, 16959 Angoulême;M. Ladrat;jean-jacques.ladrat@ch-angouleme.fr;05 45 24 40 40;https://www.ch-angouleme.fr/;45.63570302247702, 0.12006652706237535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital Layné à Mont de Marsan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;417 Av. Pierre de Coubertin BP, 40024 Mont-de-Marsan;Mme Quercy;nathalie.quercy@ch-mdm.fr;05 58 05 10 10;http://www.ch-mt-marsan.fr/;43.89645906529697, -0.4867694190286514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital d'Agen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21 Route de Villeneuve, 47923 Agen;Mme Temprano;tempranoc@ch-agen-nerac.fr;05 53 69 73 17;https://www.ch-agen-nerac.fr/;44.21706656259356, 0.636355610222571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital de Bergerac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9 avenue, Bd du Professeur Albert Calmette, 24100 Bergerac;Mme Travers;dominique.travers@ch-bergerac.fr;05 53 63 88 88;http://www.ch-bergerac.fr/;44.850659647149925, 0.49698579027307976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polyvalent;Public;Laboratoire de l'hôpital de Jonzac;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 Rue Winston Churchill, 17500 Jonzac;Mme Jallageas;secretariat.labo@ch-jonzac.fr;05 46 48 75 75;https://www.ch-jonzac.fr/loffre-de-soins/plateau-technique/laboratoire;45.43935328032074, -0.43383118643441854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
